,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
926,15.74,16.96,-1.0,-1.0,20.59,71.54,14.83,9.36,17.11,8.0,5.5760036
927,29.64,23.48,-1.0,61.47,26.33,74.55,20.23,21.95,22.12,15.91,14.1474695
928,64.2,-1.0,178.6,261.56,23.2,202.57,97.5,23.4,73.04,46.5,36.423607
929,34.8,-1.0,73.9,39.13,20.5,81.361,36.4,28.0,28.6,24.5,33.82289
930,24.11,16.41,18.48,-1.0,3.83,-1.0,14.54,23.2,18.17,24.64,23.77528
931,26.6,-1.0,-1.0,36.3,24.5,25.396,42.28,-1.0,19.35,26.7,16.849596
932,-1.0,47.7,195.8,52.88,56.8,113.51,39.6,40.4,54.78,55.2,22.515144
933,103.3,-1.0,42.3,50.4,26.9,38.062,68.71,-1.0,53.16,25.2,28.599077
934,43.82,84.15,-1.0,84.69,41.86,51.81,53.33,38.94,34.39,34.53,33.21768
935,0.4,-1.0,46.5,47.4,25.9,69.695,11.82,-1.0,31.67,25.9,34.106926
936,19.8,-1.0,62.6,33.59,23.2,75.658,26.7,21.9,-1.0,36.6,28.890606
937,6.5,-1.0,21.8,30.3,-1.0,25.137,26.85,-1.0,17.52,22.8,19.43738
938,40.02,47.78,-1.0,-1.0,33.51,76.1,34.75,46.26,39.14,30.88,43.261604
939,61.5,-1.0,140.9,83.65,57.8,91.97,-1.0,51.8,61.65,62.1,48.91314
940,115.34,26.77,-1.0,-1.0,77.37,71.53,55.34,0.04,93.77,96.89,34.26435
941,31.8,-1.0,65.4,42.47,51.8,84.593,-1.0,43.1,36.22,43.8,35.533596
942,18.14,12.09,20.11,-1.0,12.13,-1.0,5.62,25.22,17.86,33.09,8.188564
943,-1.0,-1.0,22.3,-1.0,17.6,54.348,15.8,13.6,16.2,7.7,11.932158
944,-1.0,-1.0,30.6,37.29,34.8,44.182,-1.0,31.6,28.96,23.9,23.913683
945,16.61,25.03,-1.0,58.3,9.77,34.46,24.38,19.88,14.45,16.13,24.564013
946,16.7,-1.0,73.9,23.98,12.8,49.566,11.3,18.5,21.42,23.8,17.453358
947,-1.0,-1.0,35.5,34.42,14.4,59.765,50.9,0.0,27.9,15.7,17.917875
948,22.4,41.2,36.3,55.31,46.1,93.881,45.6,-1.0,30.74,46.8,46.7846
949,-1.0,-1.0,62.8,30.57,33.1,80.806,28.0,27.7,26.27,27.2,29.631687
950,5.4,-1.0,20.9,17.78,10.3,44.438,-1.0,-1.0,10.34,5.2,16.948446
951,62.94,33.66,-1.0,30.81,55.78,11.28,51.38,55.18,81.0,30.5,42.07622
952,81.73,-1.0,-1.0,-1.0,46.35,85.46,65.49,39.07,65.25,40.01,52.935753
953,12.7,-1.0,-1.0,32.2,16.5,52.19,23.48,-1.0,17.04,18.3,19.57355
954,44.56,46.7,-1.0,43.18,43.01,22.6,38.74,75.78,48.01,75.65,32.23338
955,55.56,62.2,118.21,-1.0,-1.0,-1.0,116.56,25.38,79.88,20.07,22.973997
956,87.8,85.46,-1.0,36.08,58.97,85.36,62.44,100.14,63.11,51.03,47.980316
957,103.07,55.81,-1.0,48.6,77.57,27.76,60.8,58.68,-1.0,78.21,66.75033
958,34.1,-1.0,11.2,12.1,9.0,14.939,36.56,-1.0,9.36,23.3,11.626135
959,-1.0,58.9,119.9,197.02,31.1,76.04,36.0,21.5,24.26,20.7,40.390045
960,8.67,14.48,15.35,-1.0,5.66,-1.0,14.71,22.77,19.82,23.67,13.179096
961,13.0,-1.0,8.5,9.9,9.8,7.899,-1.0,-1.0,5.84,2.3,16.529005
962,47.5,-1.0,11.7,20.1,-1.0,17.309,-1.0,-1.0,27.15,11.0,11.166105
963,-1.0,-1.0,222.4,46.88,35.1,156.56,56.1,34.0,51.9,63.1,55.018814
964,47.4,-1.0,49.3,60.6,29.0,68.804,-1.0,48.9,46.41,29.8,32.749065
965,36.8,-1.0,48.2,35.1,29.7,68.806,38.5,39.4,26.69,29.0,32.36509
966,54.58,54.2,-1.0,36.6,38.65,-1.0,58.63,26.55,38.31,22.14,31.655817
967,-1.0,-1.0,34.6,16.93,4.6,33.004,13.3,18.0,11.1,11.5,9.536342
968,44.85,48.48,72.25,-1.0,42.08,-1.0,40.16,32.1,35.69,48.94,37.30767
969,-1.0,-1.0,62.6,54.95,46.8,77.574,-1.0,30.5,37.38,50.0,36.56162
970,46.09,71.66,-1.0,35.27,43.8,49.79,46.15,34.72,30.32,32.94,26.17013
971,-1.0,-1.0,-1.0,50.35,39.6,80.971,51.9,54.0,45.4,38.9,66.20164
972,71.87,45.86,-1.0,33.06,69.46,-1.0,49.0,52.8,72.39,64.83,37.94676
973,46.4,57.0,178.8,245.31,60.9,208.19,60.0,-1.0,129.38,61.9,77.64358
974,-1.0,-1.0,46.7,-1.0,14.1,50.413,24.6,34.7,14.2,12.1,15.678208
