,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
255,20.35,27.22,34.58,-1.0,-1.0,23.53,253.31,23.54,17.07,34.97,32.65764
256,-1.0,60.7,40.6,84.4,122.51,54.6,336.35,33.9,47.6,46.52,50.21628
257,29.6,32.6,66.5,79.6,118.18,29.2,59.204,57.1,27.8,59.94,53.458393
258,41.73,-1.0,67.35,-1.0,33.89,59.85,115.77,70.06,41.75,88.44,67.883965
259,-1.0,14.9,15.1,11.4,-1.0,-1.0,-1.0,24.54,-1.0,10.18,13.94497
260,27.97,40.01,18.77,47.16,-1.0,31.82,-1.0,22.65,29.13,32.21,32.44149
261,-1.0,45.7,39.1,209.3,-1.0,-1.0,-1.0,81.52,15.2,34.68,55.264595
262,-1.0,30.6,82.2,76.8,88.68,44.3,123.04,98.2,-1.0,52.5,61.122364
263,-1.0,24.0,-1.0,-1.0,83.9,-1.0,107.94,109.29,-1.0,25.49,46.961784
264,-1.0,33.4,43.9,80.8,-1.0,42.3,-1.0,32.19,33.6,22.15,40.27296
265,43.1,53.4,-1.0,132.3,157.64,23.2,157.61,55.1,25.2,46.51,51.280144
266,-1.0,11.5,25.8,35.0,-1.0,16.3,-1.0,-1.0,19.2,18.85,19.771914
267,25.24,28.19,43.18,-1.0,40.21,31.38,25.14,36.43,32.04,38.75,34.507423
268,24.59,41.33,51.51,-1.0,-1.0,66.87,41.75,41.44,42.34,43.41,59.011154
269,-1.0,127.4,138.1,118.5,260.83,97.4,333.24,125.0,-1.0,128.9,115.90158
270,-1.0,26.1,10.4,19.4,-1.0,-1.0,-1.0,13.7,-1.0,16.28,15.082716
271,13.1,-1.0,-1.0,15.0,-1.0,14.5,31.023,14.4,11.0,13.3,16.045036
